"","date","day_of_week","is_weekday","location","hour","demand","wind_speed","temperature","activity"
"1","2025-09-01","Monday",1,"birmingham",1,300.52,6.13680308734089,13.95327,0.0833497969498255
"2","2025-09-01","Monday",1,"birmingham",2,289.36,6.17329471371217,13.85146,0.0312595656273746
"3","2025-09-01","Monday",1,"birmingham",3,280.63,5.98784244951961,13.64883,0.100169599893129
"4","2025-09-01","Monday",1,"birmingham",4,268.75,5.87186995981093,13.56973,0.0387479323100659
"5","2025-09-01","Monday",1,"birmingham",5,262.97,5.70833684641272,13.9015,0.0786286540105746
"6","2025-09-01","Monday",1,"birmingham",6,270.98,5.67627977723392,14.05508,0.0697752033807313
"7","2025-09-01","Monday",1,"birmingham",7,303.13,5.66341594023565,14.24307,0.0381419256563538
"8","2025-09-01","Monday",1,"birmingham",8,352.86,6.11322344665928,14.9064,0.865443976725815
"9","2025-09-01","Monday",1,"birmingham",9,387.33,7.55082713711112,16.0497,0.777732006987944
"10","2025-09-01","Monday",1,"birmingham",10,401.5,7.18633429765764,16.5192,0.273711230566318
"11","2025-09-01","Monday",1,"birmingham",11,415.38,6.04345481994371,17.58608,0.162619663129813
"12","2025-09-01","Monday",1,"birmingham",12,423.11,6.42109206435549,17.88735,0.144325689817829
"13","2025-09-01","Monday",1,"birmingham",13,417.41,6.69475570293625,17.60513,0.213249825072577
"14","2025-09-01","Monday",1,"birmingham",14,412.42,5.79610079059843,18.4413,0.223990902688748
"15","2025-09-01","Monday",1,"birmingham",15,401.05,5.33509156857615,18.77236,0.276442798804472
"16","2025-09-01","Monday",1,"birmingham",16,397.08,5.83631459377917,18.90127,0.279448682073662
"17","2025-09-01","Monday",1,"birmingham",17,402.81,5.13323515282085,19.03042,0.331473555311245
"18","2025-09-01","Monday",1,"birmingham",18,421.98,4.70683038228124,18.26724,0.714839096091289
"19","2025-09-01","Monday",1,"birmingham",19,430.77,4.40278503720239,17.5204,0.739214823741012
"20","2025-09-01","Monday",1,"birmingham",20,425.4,4.08967060925151,16.08193,0.751171059815394
"21","2025-09-01","Monday",1,"birmingham",21,422.17,4.01521460263144,15.04043,0.552799084460538
"22","2025-09-01","Monday",1,"birmingham",22,396.09,3.96789014809484,14.1759300000001,0.424078638856356
"23","2025-09-01","Monday",1,"birmingham",23,351.53,3.56321702108957,13.37954,0.252227839217916
"24","2025-09-01","Monday",1,"birmingham",24,315.55,3.66896988192744,12.7394,0
"25","2025-09-01","Monday",1,"bristol",1,383.56,5.78429785566494,14.1642000000001,0.0833497969498255
"26","2025-09-01","Monday",1,"bristol",2,349.58,5.80593929703839,14.1366200000001,0.0312595656273746
"27","2025-09-01","Monday",1,"bristol",3,404.29,5.8352588017039,14.2621,0.100169599893129
"28","2025-09-01","Monday",1,"bristol",4,360.64,5.80920671488988,14.16543,0.0387479323100659
"29","2025-09-01","Monday",1,"bristol",5,332.09,5.57316216256471,14.06753,0.0786286540105746
"30","2025-09-01","Monday",1,"bristol",6,292.59,5.40299665046197,14.06094,0.0697752033807313
"31","2025-09-01","Monday",1,"bristol",7,360.87,5.22695854418427,14.22158,0.0381419256563538
"32","2025-09-01","Monday",1,"bristol",8,466.65,5.32938664599683,14.86733,0.865443976725815
"33","2025-09-01","Monday",1,"bristol",9,508.78,6.86041882577837,15.90518,0.777732006987944
"34","2025-09-01","Monday",1,"bristol",10,567.46,6.09250791125297,16.66567,0.273711230566318
"35","2025-09-01","Monday",1,"bristol",11,482.74,5.73965218388126,17.9357,0.162619663129813
"36","2025-09-01","Monday",1,"bristol",12,458.08,6.4803892340261,17.87954,0.144325689817829
"37","2025-09-01","Monday",1,"bristol",13,483.27,5.93484179961394,18.00942,0.213249825072577
"38","2025-09-01","Monday",1,"bristol",14,460.81,5.53319926357312,18.1796000000001,0.223990902688748
"39","2025-09-01","Monday",1,"bristol",15,457.13,5.88465109418278,18.23916,0.276442798804472
"40","2025-09-01","Monday",1,"bristol",16,424.22,5.68952727745443,18.26455,0.279448682073662
"41","2025-09-01","Monday",1,"bristol",17,504.63,5.99254834046077,17.65542,0.331473555311245
"42","2025-09-01","Monday",1,"bristol",18,538.92,5.72632888846355,17.27505,0.714839096091289
"43","2025-09-01","Monday",1,"bristol",19,533.38,4.87365218603449,16.35244,0.739214823741012
"44","2025-09-01","Monday",1,"bristol",20,558.56,4.32011705785065,15.32998,0.751171059815394
"45","2025-09-01","Monday",1,"bristol",21,560.97,4.23446265005329,14.48574,0.552799084460538
"46","2025-09-01","Monday",1,"bristol",22,536.65,4.00866646385444,14.01577,0.424078638856356
"47","2025-09-01","Monday",1,"bristol",23,468.07,3.87816638414303,13.45962,0.252227839217916
"48","2025-09-01","Monday",1,"bristol",24,444.14,3.64964929564068,13.1515,0
"49","2025-09-01","Monday",1,"cardiff",1,165.11,6.19966589330625,14.76595,0.0833497969498255
"50","2025-09-01","Monday",1,"cardiff",2,161.13,6.34166109398607,14.787985,0.0312595656273746
"51","2025-09-01","Monday",1,"cardiff",3,152.17,6.72933995774333,14.724205,0.100169599893129
"52","2025-09-01","Monday",1,"cardiff",4,149.62,6.83462866853577,14.600185,0.0387479323100659
"53","2025-09-01","Monday",1,"cardiff",5,152.21,6.50718793735827,14.57168,0.0786286540105746
"54","2025-09-01","Monday",1,"cardiff",6,161.22,6.07497967042619,14.5122700000001,0.0697752033807313
"55","2025-09-01","Monday",1,"cardiff",7,181.28,6.03116963543339,14.514735,0.0381419256563538
"56","2025-09-01","Monday",1,"cardiff",8,209.5,6.19395238489753,14.9367950000001,0.865443976725815
"57","2025-09-01","Monday",1,"cardiff",9,214.92,6.44311252401982,15.5566650000001,0.777732006987944
"58","2025-09-01","Monday",1,"cardiff",10,219.21,6.77236184582367,15.879605,0.273711230566318
"59","2025-09-01","Monday",1,"cardiff",11,206.73,7.03386840537298,16.557825,0.162619663129813
"60","2025-09-01","Monday",1,"cardiff",12,202.6,7.26787483795762,16.6560000000001,0.144325689817829
"61","2025-09-01","Monday",1,"cardiff",13,197.71,6.69445016823308,16.7136800000001,0.213249825072577
"62","2025-09-01","Monday",1,"cardiff",14,188.38,6.39732332227989,16.98434,0.223990902688748
"63","2025-09-01","Monday",1,"cardiff",15,175.89,6.42341763079268,17.1681150000001,0.276442798804472
"64","2025-09-01","Monday",1,"cardiff",16,183.96,6.87568166218021,17.30276,0.279448682073662
"65","2025-09-01","Monday",1,"cardiff",17,200,7.24952116589963,17.1302450000001,0.331473555311245
"66","2025-09-01","Monday",1,"cardiff",18,221.83,7.06532743801462,16.9344150000001,0.714839096091289
